Símbolo,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário
TT,Industrials,Building Products & Equipment,466.98,479.37,298.15,1546570
SO,Utilities,Utilities - Regulated Electric,93.59,100.84,83.09,6990590
CRWD,Technology,Software - Infrastructure,409.32,566.9,298.0,3709170
HWM,Industrials,Aerospace & Defense,254.225,256.7,105.04,3334170
BX,Financial Services,Asset Management,129.405,190.09,115.66,8953100
CVS,Healthcare,Healthcare Plans,78.6964,85.15,58.35,9397240
NOC,Industrials,Aerospace & Defense,703.74,715.61,426.24,941270
DUK,Utilities,Utilities - Regulated Electric,127.2,130.03,110.51,5229940
UPS,Industrials,Integrated Freight & Logistics,116.56,123.7,82.0,7395450
WDC,Technology,Computer Hardware,285.015,307.5,28.83,12028590
WM,Industrials,Waste Management,237.86,242.58,194.11,2377130
MAR,Consumer Cyclical,Lodging,360.38,370.0,205.4,1939800
NKE,Consumer Cyclical,Footwear & Accessories,63.63,82.44,52.28,14896970
EQIX,Real Estate,REIT - Specialty,954.74,992.9,701.41,818340
PNC,Financial Services,Banks - Regional,231.89,243.94,145.12,2823180
GD,Industrials,Aerospace & Defense,343.24,369.7,239.2,1448040
STX,Technology,Computer Hardware,421.44,459.84,63.19,4715320
SNDK,Technology,Computer Hardware,618.405,725.0,27.885,23661290
SHW,Basic Materials,Specialty Chemicals,368.67,379.65,308.84,2070410
KKR,Financial Services,Asset Management,102.24,153.87,86.15,10752340
USB,Financial Services,Banks - Regional,58.3599,61.19,35.18,12725020
AMT,Real Estate,REIT - Specialty,192.435,234.33,166.88,3407410
MMM,Industrials,Conglomerates,169.92,177.41,121.98,4647000
FDX,Industrials,Integrated Freight & Logistics,377.17,381.72,194.3,2400800
RCL,Consumer Cyclical,Travel Services,325.515,366.5,164.01,2094210
WMB,Energy,Oil & Gas Midstream,71.85,73.04,51.58,10097170
FCX,Basic Materials,Copper,60.825,69.44,27.66,20644390
ICE,Financial Services,Financial Data & Stock Exchanges,153.58,189.35,143.17,6164080
ITW,Industrials,Specialty Industrial Machinery,298.24,303.16,214.66,2125540
JCI,Industrials,Building Products & Equipment,141.07,143.17,68.03,6348110
